#	spawn_time	id	position_x	position_y	[sup	Param]

#	ENEMY


# BUFF
750	item_r	1000	-30
1500	item_r	450	-30

#	METEOR

100	meteor_4	600	-238	50	100	1.2
300	meteor_4	100	-238	50	100	1.3
300	meteor_3	600	-118	50	100	1.9
300	meteor_3	-118	250	50	100	1.6
350	meteor_3	600	-118	50	100	2.0
400	meteor_4	800	-238	50	100	1.3
400	meteor_3	300	-118	50	100	1.9
400	meteor_3	-118	350	50	100	1.5
500	meteor_5	350	-318	50	100	0.7
600	meteor_4	700	-238	50	100	1.2
600	meteor_4	50	-238	50	100	1.6
650	meteor_3	1000	-118	50	100	2.1
660	meteor_3	800	-118	50	100	2.0
680	meteor_3	200	-118	50	100	1.9
750	meteor_3	-118	250	50	100	1.9
800	meteor_4	-238	150	50	100	1.2
900	meteor_5	350	-318	50	100	0.6
1000	meteor_3	1050	-118	50	100	2.0
1100	meteor_3	750	-118	50	100	2.0
1200	meteor_4	250	-238	50	100	1.2
1250	meteor_3	600	-118	50	100	1.9
1300	meteor_5	750	-318	50	100	0.6
1350	meteor_3	50	-118	50	100	1.9
1400	meteor_4	800	-238	50	100	1.6
1500	meteor_3	400	-118	50	100	1.9
1600	meteor_4	-238	250	50	100	2.0
1700	meteor_3	750	-118	50	100	1.8
1800	meteor_4	500	-238	50	100	1.2
2000	meteor_5	-318	40	50	100	0.9
