#	spawn_time	id	position_x	position_y	[sup	Param]

#	ENEMY


# BUFF
750	item_r	1000	-30
1500	item_r	450	-30

#	METEOR

50	meteor_2	300	-58	50	100	2.5
100	meteor_4	600	-238	50	100	1.2
200	meteor_2	680	-58	50	100	2.5
250	meteor_2	20	-58	50	100	2.5
300	meteor_4	100	-238	50	100	1.4
300	meteor_3	600	-118	50	100	2.2
300	meteor_3	-118	250	50	100	1.8
350	meteor_3	600	-118	50	100	2.4
400	meteor_4	800	-238	50	100	1.4
400	meteor_3	300	-118	50	100	2.1
400	meteor_3	-118	350	50	100	1.6
500	meteor_5	350	-318	50	100	0.8
600	meteor_4	700	-238	50	100	1.4
600	meteor_2	350	-58	50	100	2.5
600	meteor_4	50	-238	50	100	1.8
650	meteor_3	1000	-118	50	100	2.2
660	meteor_3	800	-118	50	100	2.4
680	meteor_3	200	-118	50	100	2.0
700	meteor_2	20	-58	50	100	2.5
750	meteor_3	-118	250	50	100	2.3
800	meteor_4	-238	150	50	100	1.6
900	meteor_5	320	-318	50	100	0.8
920	meteor_2	10	-58	50	100	2.7
980	meteor_2	450	-58	50	100	2.6
1050	meteor_2	670	-58	50	100	2.5
1100	meteor_3	800	-118	50	100	2.6
1200	meteor_4	250	-238	50	100	1.4
1250	meteor_3	600	-118	50	100	2.3
1300	meteor_5	750	-318	50	100	0.8
1350	meteor_3	50	-118	50	100	2.3
1400	meteor_4	800	-238	50	100	1.8
1500	meteor_3	400	-118	50	100	2.2
1550	meteor_3	700	-118	50	100	2.5
1600	meteor_4	-238	250	50	100	2.3
1700	meteor_3	750	-118	50	100	1.9
1750	meteor_3	150	-118	50	100	1.8
1800	meteor_4	500	-238	50	100	1.3
2000	meteor_5	-318	0	50	100	1.1
2100	meteor_3	350	-118	50	100	1.9
2150	meteor_2	50	-58	50	100	2.5
2200	meteor_4	650	-238	50	100	1.4
